Comment,Designator,Footprint,LCSC Part Number
MMBT3904,"Q1,Q2",SOT-23-3,C20526
12k,"R19,R56,R27",0603,C22790
120k,"R67,R18,R68,R39,R41,R40,R38,R37,R30,R32,R31,R26,R21",0603,C25808
DG469EQ,"U7,U6",MSOP-8_3x3.0x0.65P,C145215
MCP6004,"U5,U4,U3,U2",TSSOP-14_4.4x5_P0.65P,C50282
TL074,U1,TSSOP-14_4.4x5_P0.65P,C96507
300k,"R66,R65,R55,R36,R35,R33,R29,R25,R20",0603,C23024
10k,"R28,R58,R52,R51,R44,R42,R23,R22,R15,R14",0603,C25804
100k,"R24,R64,R63,R62,R50,R49,R48,R34,R8",0603,C25803
1M,"R54,R53",0603,C22935
100n,"C32,C30,C29,C27,C47,C46,C41,C40,C39,C38,C37,C36,C35,C31,C23,C20,C18,C17,C15,C12,C10,C8,C7,C6,C5,C4",0603,C14663
1k2,"R61,R47,R17,R16,R13,R12",0603,C22765
4k7,"R60,R46",0603,C23162
30k,"R59,R45",0603,C22984
20k,"R57,R43,R11",0603,C4184
470n,"C45,C44",0805,C13967
4n7,"C2,C1",0805,C1744
1R,"R7,R6",0603,C22936
2k2,R5,0603,C4190
2M2,"R4,R3,R2,R1",0603,C22938
100R @ 100MHz,"FB4,FB3,FB2,FB1",L_0805_2012Metric,C1015
B5819W,D1,D_SOD-123,C8598
1u,"C43,C42,C21,C19,C14",0805,C28323
22n,"C34,C33,C28",0603,C21122
4u7,"C24,C22,C16",0805,C1779
10u,"C13,C11,C9,C3",0805,C15850
